Ref,Val,Package,PosX,PosY,Rot,Side
"C4","470n","C_0402_1005Metric",-19.200000,14.900000,180.000000,bottom
"C5","470n","C_0402_1005Metric",-18.050000,19.400000,90.000000,bottom
"C6","470n","C_0402_1005Metric",-19.650000,19.400000,90.000000,bottom
"C7","47u","C_0603_1608Metric",-32.450000,22.400000,90.000000,bottom
"C8","4u7","C_0402_1005Metric",-26.350000,20.550000,180.000000,bottom
"C10","470n","C_0402_1005Metric",-25.600000,10.750000,180.000000,bottom
"C11","470n","C_0402_1005Metric",-26.400000,17.400000,0.000000,bottom
"C12","470n","C_0402_1005Metric",-27.050000,23.000000,180.000000,bottom
"C13","470n","C_0402_1005Metric",-22.400000,21.450000,0.000000,bottom
"C14","470n","C_0402_1005Metric",-24.750000,21.550000,0.000000,bottom
"C15","47u","C_0603_1608Metric",-8.800000,9.550000,-90.000000,bottom
"C16","4u7","C_0402_1005Metric",-10.300000,9.550000,-90.000000,bottom
"C17","470n","C_0402_1005Metric",-16.600000,13.550000,180.000000,bottom
"C18","470n","C_0402_1005Metric",-20.900000,15.875000,180.000000,bottom
"C19","47u","C_0603_1608Metric",-4.750000,23.450000,-90.000000,bottom
"C20","4u7","C_0402_1005Metric",-14.850000,19.700000,-90.000000,bottom
"C21","470n","C_0402_1005Metric",-16.475000,19.700000,-90.000000,bottom
"C30","470n","C_0402_1005Metric",-36.150000,2.950000,-90.000000,bottom
"C31","470n","C_0402_1005Metric",-32.600000,2.100000,0.000000,bottom
"C33","470n","C_0402_1005Metric",-22.850000,11.850000,-90.000000,bottom
"C34","470n","C_0402_1005Metric",-21.700000,10.200000,0.000000,bottom
"R1","1k","R_0402_1005Metric",-25.600000,14.800000,0.000000,bottom
"R2","1k","R_0402_1005Metric",-24.750000,19.050000,0.000000,bottom
"R3","1k","R_0402_1005Metric",-26.400000,15.850000,0.000000,bottom
"R4","4k7","R_0402_1005Metric",-25.600000,11.800000,0.000000,bottom
"R5","4k7","R_0402_1005Metric",-25.600000,13.800000,0.000000,bottom
"R6","4k7","R_0402_1005Metric",-25.600000,12.800000,0.000000,bottom
"R24","4k7","R_0402_1005Metric",-7.700000,23.700000,90.000000,bottom
"R25","4k7","R_0402_1005Metric",-6.350000,23.700000,-90.000000,bottom
"U4","LM3880","SOT-23-6",-33.100000,4.800000,90.000000,bottom
"C1","47u","C_0603_1608Metric",37.500000,21.700000,90.000000,top
"C3","4u7","C_0402_1005Metric",36.200000,21.400000,90.000000,top
"C22","22u","C_0603_1608Metric",31.050000,15.200000,180.000000,top
"C23","4u7","C_0402_1005Metric",29.500000,10.400000,-90.000000,top
"C24","1u","C_0603_1608Metric",37.950000,15.250000,90.000000,top
